Time (sec),Conc Ea (mol/L)
0,0.05
10,0.04248222146969185
20,0.03487978327125001
30,0.02958855401286827
40,0.02567727734507281
50,0.022434812055536737
60,0.019996613613274636
70,0.017880121909922112
80,0.016153064679986458
90,0.014646122587199453
100,0.013359295631561947
110,0.012343379613952012
120,0.011386725364036688
130,0.010463934981375074
140,0.009727395868608213
150,0.00905858449034881
160,0.00838977311208944
170,0.007856417202844577
180,0.0073061293599729306
190,0.006908228919742633
200,0.006366407043684472
210,0.0059685066034541176
220,0.00564679986454453
230,0.005274297324754494
240,0.004994920419911952
300,0.0033017270572300098
360,0.002150355570606167
420,0.001456146291906541
480,0.0008550626481544191
540,0.00037250253979005904
600,0.0
